"Time","dt_sound_level_dB"
2022-02-20 00:24:00,52
2022-02-20 00:25:00,52
2022-02-20 00:26:00,49
2022-02-20 00:27:00,49
2022-02-20 00:28:00,47
2022-02-20 00:29:00,50
2022-02-20 00:30:00,47
2022-02-20 00:31:00,49
2022-02-20 00:32:00,50
2022-02-20 00:33:00,52
2022-02-20 00:34:00,49
2022-02-20 00:35:00,47
2022-02-20 00:36:00,56
2022-02-20 00:37:00,51
2022-02-20 00:38:00,49
2022-02-20 00:39:00,51
2022-02-20 00:40:00,50
2022-02-20 00:41:00,47
2022-02-20 00:42:00,49
2022-02-20 00:43:00,49
2022-02-20 00:53:00,55
2022-02-20 00:54:00,49
2022-02-20 00:55:00,50
2022-02-20 00:56:00,48
2022-02-20 00:57:00,50
2022-02-20 00:58:00,49
2022-02-20 00:59:00,49
2022-02-20 01:00:00,49
2022-02-20 01:01:00,50
2022-02-20 01:02:00,50
2022-02-20 01:03:00,50
2022-02-20 01:04:00,51
2022-02-20 01:05:00,48
2022-02-20 01:06:00,47
2022-02-20 01:07:00,49
2022-02-20 01:08:00,52
2022-02-20 01:09:00,51
2022-02-20 01:10:00,53
2022-02-20 01:11:00,48
2022-02-20 01:12:00,49
2022-02-20 01:13:00,48
2022-02-20 01:14:00,53
2022-02-20 01:15:00,49
2022-02-20 01:16:00,52
2022-02-20 01:18:00,49
2022-02-20 01:19:00,54
2022-02-20 01:20:00,53
2022-02-20 01:21:00,48
2022-02-20 01:22:00,49
2022-02-20 01:23:00,51
2022-02-20 01:23:00,53
2022-02-20 01:25:00,49
2022-02-20 01:26:00,50
2022-02-20 01:27:00,59
2022-02-20 01:28:00,54
2022-02-20 01:29:00,47
2022-02-20 01:30:00,50
2022-02-20 01:31:00,49
2022-02-20 01:32:00,58
2022-02-20 01:33:00,51
2022-02-20 01:34:00,49
2022-02-20 01:35:00,49
2022-02-20 01:36:00,56
2022-02-20 01:37:00,56
2022-02-20 01:38:00,53
2022-02-20 01:39:00,54
2022-02-20 01:40:00,48
2022-02-20 01:41:00,46
2022-02-20 01:42:00,47
2022-02-20 01:43:00,55
2022-02-20 01:44:00,52
2022-02-20 01:45:00,50
2022-02-20 01:46:00,54
2022-02-20 01:47:00,53
2022-02-20 01:48:00,54
2022-02-20 01:49:00,50
2022-02-20 01:50:00,49
2022-02-20 01:51:00,55
2022-02-20 01:52:00,53
2022-02-20 02:44:00,54
2022-02-20 02:45:00,57
2022-02-20 02:46:00,57
2022-02-20 02:47:00,51
2022-02-20 02:48:00,58
2022-02-20 02:49:00,51
2022-02-20 02:50:00,59
2022-02-20 02:51:00,51
2022-02-20 02:52:00,62
2022-02-20 07:14:00,51
2022-02-20 07:15:00,47
2022-02-20 07:16:00,52
2022-02-20 07:17:00,47
2022-02-20 07:18:00,47
2022-02-20 07:19:00,51
2022-02-20 07:20:00,48
2022-02-20 07:21:00,50
2022-02-20 07:22:00,52
2022-02-20 07:23:00,48
2022-02-20 07:24:00,48
2022-02-20 07:25:00,48
2022-02-20 07:26:00,47
2022-02-20 07:27:00,52
2022-02-20 07:28:00,49
2022-02-20 07:29:00,48
2022-02-20 07:30:00,49
2022-02-20 07:31:00,47
2022-02-20 07:32:00,49
2022-02-20 07:33:00,48
2022-02-20 07:34:00,52
2022-02-20 07:35:00,50
2022-02-20 07:36:00,50
