"Time","dt_sound_level_dB"
2022-02-20 00:00:00,47
2022-02-20 00:01:00,50
2022-02-20 00:03:00,49
2022-02-20 00:04:00,49
2022-02-20 00:05:00,48
2022-02-20 00:06:00,48
2022-02-20 00:07:00,49
2022-02-20 00:08:00,47
2022-02-20 00:09:00,48
2022-02-20 00:10:00,47
2022-02-20 00:11:00,51
2022-02-20 00:12:00,49
2022-02-20 00:13:00,48
2022-02-20 00:14:00,47
2022-02-20 00:15:00,48
2022-02-20 00:36:00,50
2022-02-20 00:37:00,49
2022-02-20 00:38:00,48
2022-02-20 00:39:00,47
2022-02-20 00:40:00,49
2022-02-20 00:41:00,48
2022-02-20 00:42:00,51
2022-02-20 00:43:00,49
2022-02-20 00:44:00,50
2022-02-20 00:45:00,47
2022-02-20 01:16:00,51
2022-02-20 01:17:00,51
2022-02-20 01:18:00,52
2022-02-20 01:19:00,52
2022-02-20 01:20:00,48
2022-02-20 01:21:00,47
2022-02-20 01:22:00,47
2022-02-20 01:23:00,47
2022-02-20 01:24:00,48
2022-02-20 01:25:00,48
2022-02-20 01:26:00,53
2022-02-20 01:27:00,53
2022-02-20 01:28:00,53
2022-02-20 01:29:00,49
2022-02-20 01:30:00,50
2022-02-20 01:31:00,50
2022-02-20 01:32:00,54
2022-02-20 01:33:00,49
2022-02-20 01:34:00,53
2022-02-20 01:35:00,51
2022-02-20 01:55:00,49
2022-02-20 01:56:00,53
2022-02-20 01:57:00,51
2022-02-20 01:58:00,50
2022-02-20 01:59:00,52
2022-02-20 02:00:00,50
2022-02-20 02:02:00,50
2022-02-20 02:03:00,50
2022-02-20 02:04:00,50
2022-02-20 02:05:00,58
2022-02-20 02:46:00,52
2022-02-20 02:47:00,58
2022-02-20 02:48:00,53
2022-02-20 02:49:00,56
2022-02-20 02:50:00,58
2022-02-20 02:51:00,58
2022-02-20 02:52:00,56
2022-02-20 02:53:00,60
2022-02-20 02:54:00,59
2022-02-20 02:55:00,61
2022-02-20 02:56:00,61
2022-02-20 02:57:00,61
2022-02-20 02:58:00,56
2022-02-20 02:59:00,57
2022-02-20 03:01:00,58
2022-02-20 03:02:00,56
2022-02-20 03:03:00,56
2022-02-20 03:04:00,65
2022-02-20 03:05:00,60
2022-02-20 03:06:00,55
2022-02-20 03:07:00,57
2022-02-20 03:08:00,60
2022-02-20 03:09:00,57
2022-02-20 03:10:00,60
2022-02-20 03:11:00,63
2022-02-20 03:12:00,56
2022-02-20 03:13:00,57
2022-02-20 03:14:00,59
2022-02-20 03:15:00,59
2022-02-20 03:16:00,64
2022-02-20 03:17:00,58
2022-02-20 03:18:00,57
2022-02-20 03:19:00,67
2022-02-20 03:20:00,66
2022-02-20 03:21:00,60
2022-02-20 03:22:00,62
2022-02-20 03:23:00,62
2022-02-20 03:24:00,59
2022-02-20 03:25:00,62
2022-02-20 03:26:00,59
2022-02-20 03:27:00,60
2022-02-20 03:28:00,62
2022-02-20 03:29:00,64
2022-02-20 03:30:00,57
2022-02-20 03:31:00,62
2022-02-20 03:32:00,65
2022-02-20 03:33:00,58
2022-02-20 03:34:00,62
2022-02-20 03:35:00,58
2022-02-20 03:46:00,64
2022-02-20 03:47:00,65
2022-02-20 03:48:00,62
2022-02-20 03:49:00,63
2022-02-20 03:50:00,64
2022-02-20 03:51:00,69
2022-02-20 03:52:00,58
2022-02-20 03:53:00,61
2022-02-20 03:54:00,59
2022-02-20 06:46:00,47
2022-02-20 06:47:00,55
2022-02-20 06:48:00,50
2022-02-20 06:49:00,49
2022-02-20 06:50:00,49
2022-02-20 06:51:00,53
2022-02-20 06:52:00,53
2022-02-20 06:53:00,50
2022-02-20 06:54:00,49
2022-02-20 07:06:00,47
2022-02-20 07:07:00,48
2022-02-20 07:08:00,48
2022-02-20 07:09:00,49
2022-02-20 07:10:00,47
2022-02-20 07:11:00,47
2022-02-20 07:12:00,47
2022-02-20 07:13:00,47
2022-02-20 07:14:00,47
2022-02-20 07:15:00,47
2022-02-20 07:16:00,48
2022-02-20 07:17:00,48
2022-02-20 07:18:00,47
2022-02-20 07:19:00,49
2022-02-20 07:20:00,49
2022-02-20 07:21:00,48
2022-02-20 07:22:00,49
2022-02-20 07:23:00,48
2022-02-20 07:24:00,47
2022-02-20 07:25:00,47
2022-02-20 07:46:00,48
2022-02-20 07:47:00,47
2022-02-20 07:48:00,50
2022-02-20 07:49:00,47
2022-02-20 07:50:00,49
2022-02-20 07:51:00,49
2022-02-20 07:52:00,47
2022-02-20 07:53:00,48
2022-02-20 07:54:00,47
2022-02-20 09:26:00,51
2022-02-20 09:27:00,48
2022-02-20 09:28:00,49
2022-02-20 09:29:00,48
2022-02-20 09:30:00,53
2022-02-20 09:31:00,54
2022-02-20 09:32:00,51
2022-02-20 09:33:00,50
2022-02-20 09:34:00,49
2022-02-20 09:35:00,52
2022-02-20 10:56:00,59
2022-02-20 10:58:00,57
2022-02-20 10:59:00,61
2022-02-20 11:00:00,57
2022-02-20 11:01:00,57
2022-02-20 11:02:00,60
2022-02-20 11:03:00,60
2022-02-20 11:04:00,62
2022-02-20 11:05:00,62
2022-02-20 11:16:00,67
2022-02-20 11:17:00,66
2022-02-20 11:18:00,69
2022-02-20 11:19:00,61
2022-02-20 11:20:00,64
2022-02-20 11:21:00,66
2022-02-20 11:22:00,65
2022-02-20 11:23:00,68
2022-02-20 11:24:00,66
2022-02-20 11:25:00,65
2022-02-20 11:26:00,65
2022-02-20 11:27:00,61
2022-02-20 11:28:00,61
2022-02-20 11:29:00,70
2022-02-20 11:30:00,66
2022-02-20 11:31:00,64
2022-02-20 11:32:00,63
2022-02-20 11:33:00,63
2022-02-20 11:34:00,64
2022-02-20 11:35:00,64
2022-02-20 11:36:00,66
2022-02-20 11:37:00,62
2022-02-20 11:38:00,64
2022-02-20 11:39:00,65
2022-02-20 11:40:00,59
2022-02-20 11:41:00,66
2022-02-20 11:42:00,62
2022-02-20 11:43:00,66
2022-02-20 11:44:00,65
2022-02-20 11:45:00,65
2022-02-20 11:57:00,63
2022-02-20 11:58:00,63
2022-02-20 11:59:00,67
2022-02-20 12:00:00,65
2022-02-20 12:01:00,63
2022-02-20 12:02:00,70
2022-02-20 12:03:00,66
2022-02-20 12:04:00,65
2022-02-20 12:05:00,64
2022-02-20 12:46:00,59
2022-02-20 12:47:00,58
2022-02-20 12:48:00,59
2022-02-20 12:49:00,65
2022-02-20 12:50:00,64
2022-02-20 12:51:00,64
2022-02-20 12:52:00,59
2022-02-20 12:53:00,63
2022-02-20 12:54:00,57
2022-02-20 12:55:00,62
2022-02-20 16:06:00,59
2022-02-20 16:07:00,56
2022-02-20 16:08:00,62
2022-02-20 16:09:00,60
2022-02-20 16:10:00,63
2022-02-20 16:11:00,63
2022-02-20 16:12:00,57
2022-02-20 16:13:00,59
2022-02-20 16:14:00,62
2022-02-20 16:15:00,58
2022-02-20 16:16:00,64
2022-02-20 16:17:00,63
2022-02-20 16:18:00,62
2022-02-20 16:19:00,56
2022-02-20 16:20:00,58
2022-02-20 16:21:00,59
2022-02-20 16:22:00,58
2022-02-20 16:23:00,60
2022-02-20 16:24:00,62
2022-02-20 16:25:00,62
2022-02-20 16:26:00,59
2022-02-20 16:27:00,59
2022-02-20 16:28:00,58
2022-02-20 16:29:00,61
2022-02-20 16:30:00,61
2022-02-20 16:31:00,64
2022-02-20 16:32:00,61
2022-02-20 16:33:00,58
2022-02-20 16:34:00,58
2022-02-20 16:35:00,62
2022-02-20 16:46:00,61
2022-02-20 16:47:00,59
2022-02-20 16:48:00,60
2022-02-20 16:49:00,62
2022-02-20 16:50:00,63
2022-02-20 16:51:00,61
2022-02-20 16:52:00,59
2022-02-20 16:53:00,60
2022-02-20 16:54:00,58
2022-02-20 16:55:00,60
2022-02-20 16:57:00,64
2022-02-20 16:58:00,64
2022-02-20 16:59:00,63
2022-02-20 17:00:00,58
2022-02-20 17:01:00,59
2022-02-20 17:02:00,60
2022-02-20 17:03:00,62
2022-02-20 17:04:00,64
2022-02-20 17:05:00,61
2022-02-20 17:06:00,62
2022-02-20 17:07:00,55
2022-02-20 17:08:00,62
2022-02-20 17:09:00,62
2022-02-20 17:10:00,62
2022-02-20 17:11:00,62
2022-02-20 17:12:00,60
2022-02-20 17:13:00,57
2022-02-20 17:14:00,57
2022-02-20 17:15:00,60
2022-02-20 17:16:00,60
2022-02-20 17:17:00,63
2022-02-20 17:18:00,62
2022-02-20 17:19:00,61
2022-02-20 17:20:00,57
2022-02-20 17:21:00,61
2022-02-20 17:22:00,62
2022-02-20 17:23:00,64
2022-02-20 17:24:00,63
2022-02-20 17:25:00,62
2022-02-20 17:26:00,61
2022-02-20 17:27:00,59
2022-02-20 17:28:00,59
2022-02-20 17:29:00,59
2022-02-20 17:30:00,63
2022-02-20 17:31:00,64
2022-02-20 17:32:00,56
2022-02-20 17:33:00,60
2022-02-20 17:34:00,58
2022-02-20 17:35:00,59
2022-02-20 17:36:00,62
2022-02-20 17:37:00,62
2022-02-20 17:38:00,61
2022-02-20 17:39:00,61
2022-02-20 17:40:00,60
2022-02-20 17:41:00,62
2022-02-20 17:42:00,59
2022-02-20 17:43:00,64
2022-02-20 17:44:00,63
2022-02-20 17:45:00,61
2022-02-20 17:46:00,58
2022-02-20 17:47:00,61
2022-02-20 17:48:00,64
2022-02-20 17:49:00,61
2022-02-20 17:50:00,63
2022-02-20 17:51:00,61
2022-02-20 17:52:00,61
2022-02-20 17:53:00,58
2022-02-20 17:54:00,58
2022-02-20 17:56:00,60
2022-02-20 18:06:00,54
2022-02-20 18:07:00,55
2022-02-20 18:08:00,60
2022-02-20 18:09:00,61
2022-02-20 18:10:00,60
2022-02-20 18:11:00,61
2022-02-20 18:12:00,62
